com.samsung.shealth.activity.day_summary,6260063,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,1508,,971699,90,0,,2022-08-04 20:50:56.339,,2022-08-03 21:00:00.803,,,,-1,180000,17,,,,1141.7656,,53.265137,63d5d21e-3e5c-47c9-955d-4497dd667521.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,971699,39180000,63d5d21e-3e5c-47c9-955d-4497dd667521,1659571200000,
,,,,11948,,7139418,90,0,,2022-06-03 20:23:19.919,,2022-06-02 21:00:01.612,,,,-1,638199,131,,,,9248.88,,418.9557,6eaa3c30-db97-4de7-ab03-ad8dfe6df341.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,7139418,26520000,6eaa3c30-db97-4de7-ab03-ad8dfe6df341,1654214400000,
,,,,3282,,2104841,90,0,,2022-07-28 20:56:33.527,,2022-07-27 21:00:01.363,,,,-1,240000,38,,,,2496.2227,,116.20703,11875a25-d4fe-4d28-b1f9-75126c96de18.extra_data.json,D7+MLxdohL,2000,com.sec.android.app.shealth,2102841,19860000,11875a25-d4fe-4d28-b1f9-75126c96de18,1658966400000,
,,,,6196,,3606382,90,0,,2022-06-05 16:48:39.706,,2022-06-04 21:00:02.387,,,,-1,360000,66,,,,4827.5156,,216.6936,8d54651f-7b70-47b1-b467-ea93b84fb394.extra_data.json,D7+MLxdohL,1600,com.sec.android.app.shealth,3604782,24060000,8d54651f-7b70-47b1-b467-ea93b84fb394,1654387200000,
,,,,0,,0,90,0,,2022-05-19 19:11:24.306,,2022-05-19 19:11:24.306,,,,-1,0,0,,,,0.0,,0.0,de6045a3-8e5c-4eb2-b542-4e14584a31d2.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,0,-1,de6045a3-8e5c-4eb2-b542-4e14584a31d2,1651190400000,
,,,,4890,,2983348,90,0,,2022-06-13 19:17:21.150,,2022-06-12 21:00:00.773,,,,-1,480000,54,,,,3734.8262,,171.74786,566c4587-127f-4aab-ad6d-af14a2fd6c23.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,2983348,27300000,566c4587-127f-4aab-ad6d-af14a2fd6c23,1655078400000,
,,,,6477,,3875204,90,0,,2022-06-15 20:12:40.051,,2022-06-14 21:00:01.565,,,,-1,707247,71,,,,5023.718,,227.29803,25fee07d-e2ce-42ab-9bad-0b55dc63f4fe.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,3875204,35880000,25fee07d-e2ce-42ab-9bad-0b55dc63f4fe,1655251200000,
,,,,4063,,2464618,90,0,,2022-07-05 20:02:26.953,,2022-07-04 21:00:00.550,,,,-1,1079589,45,,,,3176.2148,,144.00262,acb02da9-d5b3-4c86-a9b4-d1c811cee39d.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,2464618,24780000,acb02da9-d5b3-4c86-a9b4-d1c811cee39d,1656979200000,
,,,,1117,,701193,90,0,,2022-07-26 19:37:48.085,,2022-07-25 21:00:01.924,,,,-1,120000,12,,,,853.28516,,39.71924,10caf139-913d-4946-8625-3cbe3016cc70.extra_data.json,D7+MLxdohL,1600,com.sec.android.app.shealth,699593,31620000,10caf139-913d-4946-8625-3cbe3016cc70,1658793600000,
,,,,5063,,3007654,90,0,,2022-06-08 15:47:01.477,,2022-06-07 21:00:02.036,,,,-1,644218,55,,,,3958.4119,,178.61409,e10d1d90-f4f4-497c-978c-729f5864e716.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,3007654,30420000,e10d1d90-f4f4-497c-978c-729f5864e716,1654646400000,
,,,,824,,539573,90,0,,2022-08-02 20:12:12.601,,2022-08-01 21:00:00.482,,,,-1,60000,8,,,,626.5156,,29.527832,02e7dc62-3a6c-48c2-92ba-4dcab6a2248e.extra_data.json,D7+MLxdohL,3563,com.sec.android.app.shealth,536010,35340000,02e7dc62-3a6c-48c2-92ba-4dcab6a2248e,1659398400000,
